FSW - R246,00a0a0a0
,3521.0323,13857.1245
,3521.0520,13857.0903
,3521.0705,13857.0490
,3521.1012,13857.0038
,3521.1393,13856.9545
,3521.1869,13856.8998
,3521.2574,13856.8143
,3521.3701,13856.6807
,3521.4542,13856.5978
,3521.4918,13856.5636
,3521.5296,13856.5390
,3521.5911,13856.5274
,3521.6562,13856.5399
,3521.7018,13856.5445
,3521.7120,13856.5414
,3521.8149,13856.4776
,3521.8850,13856.4273
,3521.9652,13856.3589
,3522.0349,13856.2926
,3522.0410,13856.3026
,3521.9472,13856.3851
,3521.8904,13856.4335
,3521.8441,13856.4662
,3521.7686,13856.5174
,3521.7149,13856.5501
,3521.7035,13856.5537
,3521.6829,13856.5522
,3521.6440,13856.5466
,3521.5993,13856.5371
,3521.5665,13856.5386
,3521.5304,13856.5497
,3521.4952,13856.5723
,3521.4570,13856.6044
,3521.4013,13856.6623
,3521.3279,13856.7467
,3521.2241,13856.8710
,3521.1290,13856.9831
,3521.1039,13857.0109
,3521.0742,13857.0568
,3521.0401,13857.1302
