L413補足 原宿ー外苑前,00daa520
,3540.1908,13942.1542
,3540.2453,13942.1629
,3540.3179,13942.1801
,3540.3738,13942.2056
,3540.3744,13942.2214
,3540.3920,13942.2743
,3540.4552,13942.3590
,3540.4790,13942.4099
,3540.4827,13942.4320
,3540.5385,13942.7500
,3540.5445,13942.7911
,3540.5347,13942.9081
,3540.5345,13942.9151
,3540.5283,13942.9173
,3540.3514,13943.0092
,3540.3232,13943.0189
,3540.2283,13943.0141
,3540.2202,13943.0207
,3540.2118,13943.0039
,3540.2587,13943.0038
,3540.3268,13943.0067
,3540.3349,13943.0051
,3540.3426,13943.0029
,3540.5242,13942.9085
,3540.5265,13942.9006
,3540.5371,13942.8058
,3540.5378,13942.7950
,3540.5360,13942.7821
,3540.5303,13942.7512
,3540.5118,13942.6435
,3540.4773,13942.4424
,3540.4686,13942.4108
,3540.4550,13942.3767
,3540.4473,13942.3636
,3540.3882,13942.2837
,3540.3836,13942.2744
,3540.3633,13942.2149
,3540.3158,13942.1918
,3540.2543,13942.1753
,3540.2296,13942.1759
,3540.1872,13942.1732
,3540.1781,13942.1780
